LookupID,Geo Place Name,Year,Borough
361,Chelsea - Clinton,2012,Manhattan
362,Northeast Bronx,2022,Bronx
363,Downtown - Heights - Slope,2021,Brooklyn
364,Downtown - Heights - Slope,2021,Brooklyn
365,Central Harlem - Morningside Heights,2013,Manhattan
366,Northeast Bronx,2013,Bronx
367,Northeast Bronx,2013,Bronx
368,Northeast Bronx,2010,Bronx
369,Central Harlem - Morningside Heights,2013,Manhattan
370,Northeast Bronx,2013,Bronx
371,Northeast Bronx,2010,Bronx
372,Northeast Bronx,2015,Bronx
373,Northeast Bronx,2021,Bronx
374,Chelsea - Clinton,2021,Manhattan
375,Downtown - Heights - Slope,2012,Brooklyn
376,Chelsea - Clinton,2018,Manhattan
377,Central Harlem - Morningside Heights,2013,Manhattan
378,Chelsea - Clinton,2021,Manhattan
379,Northeast Bronx,2017,Bronx
380,Downtown - Heights - Slope,2021,Brooklyn
381,Chelsea - Clinton,2022,Manhattan
382,Central Harlem - Morningside Heights,2016,Manhattan
383,Downtown - Heights - Slope,2013,Brooklyn
384,Central Harlem - Morningside Heights,2018,Manhattan
385,Chelsea - Clinton,2014,Manhattan
386,Northeast Bronx,2022,Bronx
387,Downtown - Heights - Slope,2012,Brooklyn
388,Fresh Meadows,2022,Queens
389,Chelsea - Clinton,2021,Manhattan
390,Greenpoint,2022,Brooklyn
391,Jamaica and Hollis (CD12),2013,Queens
392,Jamaica and Hollis (CD12),2012,Queens
393,Jamaica and Hollis (CD12),2018,Queens
394,Jamaica and Hollis (CD12),2021,Queens
395,Williamsbridge and Baychester (CD12),2013,Bronx
396,Williamsbridge and Baychester (CD12),2012,Bronx
397,Throgs Neck and Co-op City (CD10),2013,Bronx
398,Throgs Neck and Co-op City (CD10),2012,Bronx
399,South Ozone Park and Howard Beach (CD10),2016,Queens
400,Throgs Neck and Co-op City (CD10),2021,Bronx
401,Williamsbridge and Baychester (CD12),2018,Bronx
402,South Ozone Park and Howard Beach (CD10),2009,Queens
403,South Ozone Park and Howard Beach (CD10),2010,Queens
404,South Ozone Park and Howard Beach (CD10),2013,Queens
405,South Ozone Park and Howard Beach (CD10),2017,Queens
406,South Ozone Park and Howard Beach (CD10),2021,Queens
407,Bay Ridge and Dyker Heights (CD10),2021,Brooklyn
408,Washington Heights and Inwood (CD12),2010,Manhattan
409,Washington Heights and Inwood (CD12),2009,Manhattan
410,Washington Heights and Inwood (CD12),2013,Manhattan
411,Jamaica and Hollis (CD12),2011,Queens
